PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=1.99 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.890 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.02 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=4.69 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=2.21 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.57 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=3.15 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=1.85 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=2.30 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=5.86 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=6.68 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=1.58 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=3.51 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=3.52 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=3.14 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=1.73 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=3.84 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=3.31 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.80 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=1.68 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=2.07 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.291 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.167 ms
