PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=6.85 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=5.75 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.75 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=4.73 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=3.11 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=3.41 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=6.25 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=5.63 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=3.70 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=7.32 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=4.89 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.69 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=2.87 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=6.25 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=4.54 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=3.64 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=7.77 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=0.160 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.288 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.163 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.294 ms
