PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=16.6 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=1.85 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=3.19 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=1.60 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=3.44 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=2.23 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=3.01 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=3.10 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=5.99 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=5.94 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=1.86 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=0.429 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=3.73 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=4.42 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=2.46 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.16 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=2.98 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=1.02 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.86 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=0.652 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.218 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.236 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.207 ms
