PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=4.85 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=5.18 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=1.20 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=2.44 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=4.17 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=4.53 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=3.21 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=3.39 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=2.81 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=4.02 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=3.55 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=1.34 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.88 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=2.72 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=0.666 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=3.40 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=6.90 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=1.82 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=3.01 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.306 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.241 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.244 ms
