------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 81] local 10.1.0.1 port 5001 connected with 10.1.0.2 port 48186
[ 82] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 37974
[ 83] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 40104
[ 80] local 10.1.0.1 port 5001 connected with 10.2.0.1 port 60710
[ 84] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 58872
[ 85] local 10.1.0.1 port 5001 connected with 10.3.0.2 port 43028
[ 88] local 10.1.0.1 port 5001 connected with 10.6.0.1 port 59800
[ 86] local 10.1.0.1 port 5001 connected with 10.5.0.2 port 52744
[ 87] local 10.1.0.1 port 5001 connected with 10.3.0.1 port 56240
[ 89] local 10.1.0.1 port 5001 connected with 10.4.0.2 port 33352
[ ID] Interval       Transfer     Bandwidth
[ 85]  5.0- 6.0 sec  2.01 MBytes  16.8 Mbits/sec
[ 87]  5.0- 6.0 sec  1.83 MBytes  15.3 Mbits/sec
[ 88]  5.0- 6.0 sec   580 KBytes  4.75 Mbits/sec
[ 86]  5.0- 6.0 sec   841 KBytes  6.89 Mbits/sec
[ 84]  5.0- 6.0 sec   840 KBytes  6.88 Mbits/sec
[ 82]  5.0- 6.0 sec   655 KBytes  5.36 Mbits/sec
[ 92]  4.0- 5.0 sec   404 KBytes  3.31 Mbits/sec
[ 91]  4.0- 5.0 sec   454 KBytes  3.72 Mbits/sec
[ 90]  4.0- 5.0 sec   417 KBytes  3.42 Mbits/sec
[ 93]  4.0- 5.0 sec   421 KBytes  3.45 Mbits/sec
[ 89]  5.0- 6.0 sec   395 KBytes  3.23 Mbits/sec
[ 81]  6.0- 7.0 sec   723 KBytes  5.92 Mbits/sec
[ 83]  6.0- 7.0 sec  1.21 MBytes  10.2 Mbits/sec
[ 80]  6.0- 7.0 sec  1.19 MBytes  9.95 Mbits/sec
[ 85]  6.0- 7.0 sec  1.72 MBytes  14.4 Mbits/sec
[ 87]  6.0- 7.0 sec  1.63 MBytes  13.7 Mbits/sec
[ 82]  6.0- 7.0 sec   584 KBytes  4.78 Mbits/sec
[ 84]  6.0- 7.0 sec   766 KBytes  6.28 Mbits/sec
[ 88]  6.0- 7.0 sec   530 KBytes  4.34 Mbits/sec
[ 86]  6.0- 7.0 sec   717 KBytes  5.87 Mbits/sec
[ 90]  5.0- 6.0 sec   407 KBytes  3.34 Mbits/sec
[ 91]  5.0- 6.0 sec   482 KBytes  3.95 Mbits/sec
[ 92]  5.0- 6.0 sec   419 KBytes  3.43 Mbits/sec
[ 93]  5.0- 6.0 sec   431 KBytes  3.53 Mbits/sec
[ 89]  6.0- 7.0 sec   604 KBytes  4.95 Mbits/sec
[ 81]  7.0- 8.0 sec   786 KBytes  6.44 Mbits/sec
[ 80]  7.0- 8.0 sec  1.03 MBytes  8.68 Mbits/sec
[ 84]  7.0- 8.0 sec   782 KBytes  6.41 Mbits/sec
[ 85]  7.0- 8.0 sec  1.71 MBytes  14.4 Mbits/sec
[ 87]  7.0- 8.0 sec  1.59 MBytes  13.3 Mbits/sec
[ 86]  7.0- 8.0 sec   686 KBytes  5.62 Mbits/sec
[ 88]  7.0- 8.0 sec   543 KBytes  4.45 Mbits/sec
[ 82]  7.0- 8.0 sec   543 KBytes  4.45 Mbits/sec
[ 83]  7.0- 8.0 sec  1.15 MBytes  9.65 Mbits/sec
[ 90]  6.0- 7.0 sec   400 KBytes  3.28 Mbits/sec
[ 93]  6.0- 7.0 sec   420 KBytes  3.44 Mbits/sec
[ 91]  6.0- 7.0 sec   495 KBytes  4.05 Mbits/sec
[ 92]  6.0- 7.0 sec   437 KBytes  3.58 Mbits/sec
[ 89]  7.0- 8.0 sec   813 KBytes  6.66 Mbits/sec
[ 81]  8.0- 9.0 sec  1001 KBytes  8.20 Mbits/sec
[ 82]  8.0- 9.0 sec   550 KBytes  4.51 Mbits/sec
[ 83]  8.0- 9.0 sec  1.12 MBytes  9.41 Mbits/sec
[ 84]  8.0- 9.0 sec   940 KBytes  7.70 Mbits/sec
[ 85]  8.0- 9.0 sec  2.03 MBytes  17.0 Mbits/sec
[ 88]  8.0- 9.0 sec   617 KBytes  5.05 Mbits/sec
[ 86]  8.0- 9.0 sec   648 KBytes  5.31 Mbits/sec
[ 87]  8.0- 9.0 sec  1.30 MBytes  10.9 Mbits/sec
[ 80]  8.0- 9.0 sec  1.02 MBytes  8.55 Mbits/sec
[ 92]  7.0- 8.0 sec   400 KBytes  3.28 Mbits/sec
[ 90]  7.0- 8.0 sec   361 KBytes  2.95 Mbits/sec
[ 93]  7.0- 8.0 sec   413 KBytes  3.38 Mbits/sec
[ 89]  8.0- 9.0 sec   891 KBytes  7.30 Mbits/sec
[ 91]  7.0- 8.0 sec   553 KBytes  4.53 Mbits/sec
[ 81]  9.0-10.0 sec   850 KBytes  6.96 Mbits/sec
[ 83]  9.0-10.0 sec   980 KBytes  8.03 Mbits/sec
[ 82]  9.0-10.0 sec   550 KBytes  4.51 Mbits/sec
[ 80]  9.0-10.0 sec   957 KBytes  7.84 Mbits/sec
[ 84]  9.0-10.0 sec   864 KBytes  7.08 Mbits/sec
[ 85]  9.0-10.0 sec  1.88 MBytes  15.8 Mbits/sec
[ 86]  9.0-10.0 sec   677 KBytes  5.55 Mbits/sec
[ 87]  9.0-10.0 sec  1.46 MBytes  12.3 Mbits/sec
[ 88]  9.0-10.0 sec   602 KBytes  4.93 Mbits/sec
[ 90]  8.0- 9.0 sec   402 KBytes  3.29 Mbits/sec
[ 91]  8.0- 9.0 sec   512 KBytes  4.19 Mbits/sec
[ 92]  8.0- 9.0 sec   460 KBytes  3.76 Mbits/sec
[ 93]  8.0- 9.0 sec   465 KBytes  3.81 Mbits/sec
[ 89]  9.0-10.0 sec   853 KBytes  6.99 Mbits/sec
[ 81] 10.0-11.0 sec   891 KBytes  7.30 Mbits/sec
[ 82] 10.0-11.0 sec   501 KBytes  4.10 Mbits/sec
[ 83] 10.0-11.0 sec  1.08 MBytes  9.02 Mbits/sec
[ 80] 10.0-11.0 sec   962 KBytes  7.88 Mbits/sec
[ 84] 10.0-11.0 sec   786 KBytes  6.44 Mbits/sec
[ 85] 10.0-11.0 sec  1.87 MBytes  15.7 Mbits/sec
[ 88] 10.0-11.0 sec   546 KBytes  4.47 Mbits/sec
[ 86] 10.0-11.0 sec   735 KBytes  6.02 Mbits/sec
[ 87] 10.0-11.0 sec  1.55 MBytes  13.0 Mbits/sec
[ 92]  9.0-10.0 sec   457 KBytes  3.74 Mbits/sec
[ 90]  9.0-10.0 sec   403 KBytes  3.30 Mbits/sec
[ 91]  9.0-10.0 sec   509 KBytes  4.17 Mbits/sec
[ 93]  9.0-10.0 sec   461 KBytes  3.78 Mbits/sec
[ 89] 10.0-11.0 sec   880 KBytes  7.21 Mbits/sec
[ 81] 11.0-12.0 sec   810 KBytes  6.64 Mbits/sec
[ 82] 11.0-12.0 sec   426 KBytes  3.49 Mbits/sec
[ 83] 11.0-12.0 sec  1.06 MBytes  8.88 Mbits/sec
[ 80] 11.0-12.0 sec   936 KBytes  7.67 Mbits/sec
[ 85] 11.0-12.0 sec  1.79 MBytes  15.0 Mbits/sec
[ 86] 11.0-12.0 sec   551 KBytes  4.52 Mbits/sec
[ 87] 11.0-12.0 sec  1.29 MBytes  10.8 Mbits/sec
[ 84] 11.0-12.0 sec   799 KBytes  6.54 Mbits/sec
[ 88] 11.0-12.0 sec   550 KBytes  4.51 Mbits/sec
[ 93] 10.0-11.0 sec   454 KBytes  3.72 Mbits/sec
[ 91] 10.0-11.0 sec   489 KBytes  4.01 Mbits/sec
[ 92] 10.0-11.0 sec   451 KBytes  3.70 Mbits/sec
[ 89] 11.0-12.0 sec   897 KBytes  7.34 Mbits/sec
[ 90] 10.0-11.0 sec   407 KBytes  3.34 Mbits/sec
[ 83] 12.0-13.0 sec  1.14 MBytes  9.60 Mbits/sec
[ 81] 12.0-13.0 sec   957 KBytes  7.84 Mbits/sec
[ 82] 12.0-13.0 sec   557 KBytes  4.56 Mbits/sec
[ 80] 12.0-13.0 sec  1.09 MBytes  9.13 Mbits/sec
[ 84] 12.0-13.0 sec   665 KBytes  5.44 Mbits/sec
[ 85] 12.0-13.0 sec  2.04 MBytes  17.1 Mbits/sec
[ 86] 12.0-13.0 sec   778 KBytes  6.37 Mbits/sec
[ 87] 12.0-13.0 sec  1.46 MBytes  12.2 Mbits/sec
[ 88] 12.0-13.0 sec   546 KBytes  4.47 Mbits/sec
[ 93] 11.0-12.0 sec   509 KBytes  4.17 Mbits/sec
[ 90] 11.0-12.0 sec   423 KBytes  3.46 Mbits/sec
[ 92] 11.0-12.0 sec   486 KBytes  3.98 Mbits/sec
[ 89] 12.0-13.0 sec   833 KBytes  6.82 Mbits/sec
[ 91] 11.0-12.0 sec   482 KBytes  3.95 Mbits/sec
[ 81] 13.0-14.0 sec  1.05 MBytes  8.79 Mbits/sec
[ 82] 13.0-14.0 sec   509 KBytes  4.17 Mbits/sec
[ 83] 13.0-14.0 sec  1.13 MBytes  9.50 Mbits/sec
[ 84] 13.0-14.0 sec   744 KBytes  6.09 Mbits/sec
[ 85] 13.0-14.0 sec  1.94 MBytes  16.3 Mbits/sec
[ 88] 13.0-14.0 sec   547 KBytes  4.48 Mbits/sec
[ 86] 13.0-14.0 sec   631 KBytes  5.17 Mbits/sec
[ 87] 13.0-14.0 sec  1.30 MBytes  10.9 Mbits/sec
[ 80] 13.0-14.0 sec  1.05 MBytes  8.82 Mbits/sec
[ 90] 12.0-13.0 sec   424 KBytes  3.48 Mbits/sec
[ 92] 12.0-13.0 sec   488 KBytes  4.00 Mbits/sec
[ 93] 12.0-13.0 sec   477 KBytes  3.90 Mbits/sec
[ 91] 12.0-13.0 sec   530 KBytes  4.34 Mbits/sec
[ 89] 13.0-14.0 sec   918 KBytes  7.52 Mbits/sec
[ 81] 14.0-15.0 sec  1024 KBytes  8.39 Mbits/sec
[ 83] 14.0-15.0 sec  1007 KBytes  8.25 Mbits/sec
[ 80] 14.0-15.0 sec   745 KBytes  6.10 Mbits/sec
[ 84] 14.0-15.0 sec   779 KBytes  6.38 Mbits/sec
[ 85] 14.0-15.0 sec  1.82 MBytes  15.3 Mbits/sec
[ 86] 14.0-15.0 sec   673 KBytes  5.51 Mbits/sec
[ 87] 14.0-15.0 sec  1.31 MBytes  11.0 Mbits/sec
[ 82] 14.0-15.0 sec   407 KBytes  3.34 Mbits/sec
[ 88] 14.0-15.0 sec   584 KBytes  4.78 Mbits/sec
[ 90] 13.0-14.0 sec   440 KBytes  3.60 Mbits/sec
[ 91] 13.0-14.0 sec   546 KBytes  4.47 Mbits/sec
[ 92] 13.0-14.0 sec   525 KBytes  4.30 Mbits/sec
[ 93] 13.0-14.0 sec   553 KBytes  4.53 Mbits/sec
[ 89] 14.0-15.0 sec   936 KBytes  7.67 Mbits/sec
[ 81] 15.0-16.0 sec   871 KBytes  7.14 Mbits/sec
[ 83] 15.0-16.0 sec   908 KBytes  7.44 Mbits/sec
[ 80] 15.0-16.0 sec  1.02 MBytes  8.58 Mbits/sec
[ 84] 15.0-16.0 sec   682 KBytes  5.58 Mbits/sec
[ 85] 15.0-16.0 sec  1.62 MBytes  13.6 Mbits/sec
[ 88] 15.0-16.0 sec   523 KBytes  4.29 Mbits/sec
[ 87] 15.0-16.0 sec  1.51 MBytes  12.6 Mbits/sec
[ 82] 15.0-16.0 sec   570 KBytes  4.67 Mbits/sec
[ 86] 15.0-16.0 sec   621 KBytes  5.09 Mbits/sec
[ 93] 14.0-15.0 sec   605 KBytes  4.96 Mbits/sec
[ 90] 14.0-15.0 sec   426 KBytes  3.49 Mbits/sec
[ 92] 14.0-15.0 sec   663 KBytes  5.43 Mbits/sec
[ 91] 14.0-15.0 sec   608 KBytes  4.98 Mbits/sec
[ 89] 15.0-16.0 sec  1.09 MBytes  9.17 Mbits/sec
[ 83] 16.0-17.0 sec   993 KBytes  8.13 Mbits/sec
[ 80] 16.0-17.0 sec   916 KBytes  7.51 Mbits/sec
[ 86] 16.0-17.0 sec   634 KBytes  5.19 Mbits/sec
[ 84] 16.0-17.0 sec   694 KBytes  5.69 Mbits/sec
[ 85] 16.0-17.0 sec  1.66 MBytes  13.9 Mbits/sec
[ 88] 16.0-17.0 sec   489 KBytes  4.01 Mbits/sec
[ 87] 16.0-17.0 sec  1.46 MBytes  12.2 Mbits/sec
[ 81] 16.0-17.0 sec  1.04 MBytes  8.69 Mbits/sec
[ 82] 16.0-17.0 sec   495 KBytes  4.05 Mbits/sec
[ 90] 15.0-16.0 sec   428 KBytes  3.51 Mbits/sec
[ 92] 15.0-16.0 sec   713 KBytes  5.84 Mbits/sec
[ 93] 15.0-16.0 sec   696 KBytes  5.70 Mbits/sec
[ 91] 15.0-16.0 sec   543 KBytes  4.45 Mbits/sec
[ 89] 16.0-17.0 sec  1012 KBytes  8.29 Mbits/sec
[ 82] 17.0-18.0 sec   539 KBytes  4.41 Mbits/sec
[ 83] 17.0-18.0 sec  1.02 MBytes  8.54 Mbits/sec
[ 80] 17.0-18.0 sec   923 KBytes  7.56 Mbits/sec
[ 84] 17.0-18.0 sec   703 KBytes  5.76 Mbits/sec
[ 88] 17.0-18.0 sec   570 KBytes  4.67 Mbits/sec
[ 87] 17.0-18.0 sec  1.40 MBytes  11.8 Mbits/sec
[ 85] 17.0-18.0 sec  1.54 MBytes  12.9 Mbits/sec
[ 86] 17.0-18.0 sec   544 KBytes  4.46 Mbits/sec
[ 81] 17.0-18.0 sec  1.13 MBytes  9.49 Mbits/sec
[ 90] 16.0-17.0 sec   402 KBytes  3.29 Mbits/sec
[ 92] 16.0-17.0 sec   676 KBytes  5.54 Mbits/sec
[ 91] 16.0-17.0 sec   475 KBytes  3.89 Mbits/sec
[ 93] 16.0-17.0 sec   761 KBytes  6.23 Mbits/sec
[ 89] 17.0-18.0 sec   807 KBytes  6.61 Mbits/sec
[ 82] 18.0-19.0 sec   592 KBytes  4.85 Mbits/sec
[ 83] 18.0-19.0 sec   858 KBytes  7.03 Mbits/sec
[ 80] 18.0-19.0 sec   798 KBytes  6.53 Mbits/sec
[ 84] 18.0-19.0 sec   796 KBytes  6.52 Mbits/sec
[ 85] 18.0-19.0 sec  1.45 MBytes  12.2 Mbits/sec
[ 86] 18.0-19.0 sec   557 KBytes  4.56 Mbits/sec
[ 88] 18.0-19.0 sec   550 KBytes  4.51 Mbits/sec
[ 87] 18.0-19.0 sec  1.48 MBytes  12.4 Mbits/sec
[ 81] 18.0-19.0 sec  1.17 MBytes  9.81 Mbits/sec
[ 91] 17.0-18.0 sec   509 KBytes  4.17 Mbits/sec
[ 92] 17.0-18.0 sec   790 KBytes  6.48 Mbits/sec
[ 93] 17.0-18.0 sec   796 KBytes  6.52 Mbits/sec
[ 90] 17.0-18.0 sec   420 KBytes  3.44 Mbits/sec
[ 89] 18.0-19.0 sec   839 KBytes  6.87 Mbits/sec
[ 81] 19.0-20.0 sec  1.06 MBytes  8.93 Mbits/sec
[ 82] 19.0-20.0 sec   567 KBytes  4.65 Mbits/sec
[ 83] 19.0-20.0 sec   881 KBytes  7.22 Mbits/sec
[ 80] 19.0-20.0 sec   833 KBytes  6.82 Mbits/sec
[ 85] 19.0-20.0 sec  1.48 MBytes  12.4 Mbits/sec
[ 84] 19.0-20.0 sec   731 KBytes  5.99 Mbits/sec
[ 87] 19.0-20.0 sec  1.44 MBytes  12.1 Mbits/sec
[ 88] 19.0-20.0 sec   578 KBytes  4.74 Mbits/sec
[ 86] 19.0-20.0 sec   601 KBytes  4.92 Mbits/sec
[ 91] 18.0-19.0 sec   532 KBytes  4.36 Mbits/sec
[ 92] 18.0-19.0 sec   764 KBytes  6.26 Mbits/sec
[ 90] 18.0-19.0 sec   396 KBytes  3.24 Mbits/sec
[ 93] 18.0-19.0 sec   792 KBytes  6.49 Mbits/sec
[ 89] 19.0-20.0 sec   935 KBytes  7.66 Mbits/sec
[ 81]  0.0-20.9 sec  18.0 MBytes  7.21 Mbits/sec
[ 82] 20.0-21.0 sec   506 KBytes  4.15 Mbits/sec
[ 83] 20.0-21.0 sec   865 KBytes  7.09 Mbits/sec
[ 80] 20.0-21.0 sec   827 KBytes  6.78 Mbits/sec
[ 85] 20.0-21.0 sec  1.47 MBytes  12.3 Mbits/sec
[ 86] 20.0-21.0 sec   605 KBytes  4.96 Mbits/sec
[ 87] 20.0-21.0 sec  1.51 MBytes  12.7 Mbits/sec
[ 84] 20.0-21.0 sec   728 KBytes  5.97 Mbits/sec
[ 88] 20.0-21.0 sec   515 KBytes  4.22 Mbits/sec
[ 92] 19.0-20.0 sec   868 KBytes  7.11 Mbits/sec
[ 90] 19.0-20.0 sec   393 KBytes  3.22 Mbits/sec
[ 91] 19.0-20.0 sec   542 KBytes  4.44 Mbits/sec
[ 93] 19.0-20.0 sec   816 KBytes  6.68 Mbits/sec
[ 89] 20.0-21.0 sec   891 KBytes  7.30 Mbits/sec
[ 89]  0.0-21.1 sec  14.0 MBytes  5.56 Mbits/sec
[ 82]  0.0-21.4 sec  11.0 MBytes  4.31 Mbits/sec
[ 87]  0.0-21.5 sec  31.0 MBytes  12.1 Mbits/sec
[ 85]  0.0-21.5 sec  38.1 MBytes  14.9 Mbits/sec
[ 88]  0.0-21.6 sec  12.2 MBytes  4.75 Mbits/sec
[ 86]  0.0-21.8 sec  15.6 MBytes  6.01 Mbits/sec
[ 84]  0.0-21.8 sec  17.8 MBytes  6.82 Mbits/sec
[ 80]  0.0-21.8 sec  25.2 MBytes  9.69 Mbits/sec
[ 91]  0.0-20.7 sec  10.1 MBytes  4.11 Mbits/sec
[ 93]  0.0-20.7 sec  11.4 MBytes  4.60 Mbits/sec
[ 83]  0.0-22.0 sec  26.1 MBytes  9.96 Mbits/sec
[ 92]  0.0-20.8 sec  11.2 MBytes  4.54 Mbits/sec
[ 90]  0.0-20.8 sec  8.88 MBytes  3.58 Mbits/sec
