PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=1.70 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=3.30 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=3.15 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=5.20 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.225 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.51 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=5.02 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=5.81 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.273 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=0.189 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=0.254 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=1.73 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=3.52 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=4.17 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.42 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=1.57 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=3.08 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=6.29 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=3.90 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.347 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=1.33 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.221 ms
