PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=7.34 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=4.68 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.812 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=2.70 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=4.00 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=4.82 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=5.70 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=1.40 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=5.18 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.400 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=1.40 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=1.68 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=0.285 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=1.34 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=4.13 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=4.23 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.85 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.167 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.308 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.155 ms
