PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=3.82 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=3.18 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=4.76 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=2.91 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=1.98 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.03 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=3.11 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=1.16 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=3.12 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=3.36 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=5.55 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=4.09 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=1.50 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=0.105 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.81 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=1.55 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=3.48 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.99 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=1.39 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=2.61 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.255 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=4.19 ms
