PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=19.9 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=8.76 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=2.82 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=4.88 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=3.99 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=5.85 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=6.32 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.70 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=1.45 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=5.71 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=6.86 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=0.189 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=1.87 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=5.69 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=3.43 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=1.71 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=4.00 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.22 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=2.68 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=2.12 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.428 ms
