PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=18.3 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=4.78 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=2.39 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=4.52 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=5.33 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.223 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=5.20 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=6.20 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=2.56 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=3.98 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=2.37 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=4.46 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=5.48 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=1.96 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=3.63 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=3.37 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.64 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=0.208 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=2.77 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.65 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=4.83 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.290 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.178 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.138 ms
